"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1972.79.2/bampfa_1972-79-2_001_3.jpeg","workspace://SpacesStore/5b4403e6-4dea-4f88-bf67-fb9d13fbc9d1","bampfa_1972-79-2_001_3.jpeg","image/jpeg","90058","","","","","","","","","Mrs. Wright, Montague, Massachusetts","Field, Erastus Salisbury","Thu Apr 24 12:00:46 PDT 2014","","Thu Apr 24 12:00:45 PDT 2014","ARTIST: Field, Erastus Salisbury NATIONALITY: United States DATE_OF_WORK: 1831-1841 MATERIALS: oil on canvas DIMENSIONS: 24 -1/2 x 21 CREDIT_LINE: Gift of the Collection of Mr. and Mrs. W. B. Carnochan","233023","233023","","","556","","Apple Image Capture","800","800","Perfection V500","","Inch","","EPSON","1","","","619","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1973.24/bampfa_1973-24_001_4.tiff","workspace://SpacesStore/2c87b564-c041-4784-8f94-087faa60bd28","bampfa_1973-24_001_4.tiff","image/tiff","7886908","","","","","","","","","No. 25","McCracken, John","Wed Oct 08 17:27:20 PDT 2014","","Wed Oct 08 17:27:18 PDT 2014","ARTIST: McCracken, John NATIONALITY: United States DATE_OF_WORK: 1964 MATERIALS: acrylic gesso and modeling paste on canvas, lacquered Masonite, mounted on plywood DIMENSIONS: 48-1/2 x 48-1/2 in. CREDIT_LINE: Gift of the Berkeley Rembrandt Society","233023","233023","","","2548","","Adobe Photoshop CS5.1 Macintosh","800","800","Expression 10000XL","","Inch","","EPSON","1","","","2581","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1974.25/bampfa_1974-25_001_3.jpeg","workspace://SpacesStore/0615cd1a-a1c3-4441-9176-a408821ab768","bampfa_1974-25_001_3.jpeg","image/jpeg","287581","","","","","","","","","Fruit","Unknown","Thu Apr 24 12:01:24 PDT 2014","","Thu Apr 24 12:01:23 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1830-1840 MATERIALS: stencil print, watercolor on paper DIMENSIONS: 13 -1/2 x 16 -7/8 CREDIT_LINE: Gift of W. B. Carnochan and N. C. Carnochan","233023","233023","","","1435","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1008","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1974.26/bampfa_1974-26_001_3.jpeg","workspace://SpacesStore/cd77436a-b17b-427e-b762-7de28a17490a","bampfa_1974-26_001_3.jpeg","image/jpeg","360182","","","","","","","","","Basket of Fruit and Butterfly","Unknown","Thu Apr 24 12:01:26 PDT 2014","","Thu Apr 24 12:01:24 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1820-1830 MATERIALS: stencil print, watercolor on paper on cardboard DIMENSIONS: 10 x 14 -3/16 CREDIT_LINE: Gift of W. B. Carnochan and N. C. Carnochan","233023","233023","","","1592","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1256","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1974.27/bampfa_1974-27_001_3.jpeg","workspace://SpacesStore/d3750f9f-00e5-429d-bc4b-a782542ba951","bampfa_1974-27_001_3.jpeg","image/jpeg","421355","","","","","","","","","Virgin","Unknown","Thu Apr 24 12:01:27 PDT 2014","","Thu Apr 24 12:01:26 PDT 2014","ARTIST: Unknown NATIONALITY: Mexico DATE_OF_WORK: 19th Century MATERIALS: tempera on gessoed pine board DIMENSIONS: 23 x 10 -5/8 x 3/4 CREDIT_LINE: Gift of W. B. Carnochan and N. C. Carnochan","233023","233023","","","989","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1559","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1974.32/bampfa_1974-32_001_3.jpeg","workspace://SpacesStore/41775a7d-5f78-4722-9624-a60964d47586","bampfa_1974-32_001_3.jpeg","image/jpeg","364804","","","","","","","","","Our Lady of the Rosary","Unknown","Thu Apr 24 12:01:29 PDT 2014","","Thu Apr 24 12:01:27 PDT 2014","ARTIST: Unknown NATIONALITY: Mexico DATE_OF_WORK: 19th Century MATERIALS: tempera on carved and gessoed pine board DIMENSIONS: 21 -7/8 x 10 x 5 -1/4 CREDIT_LINE: Gift of W. B. Carnochan and N. C. Carnochan","233023","233023","","","1012","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1575","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1979.17.29/bampfa_1979-17-29_1_3.jpg","workspace://SpacesStore/9ba73cc1-9423-4d41-bb32-bacc377f9635","bampfa_1979-17-29_1_3.jpg","image/jpeg","22981","","","","","","","","","Test piece","Hesse, Eva","Tue Jun 10 10:16:21 PDT 2014","","Thu Jul 25 17:19:19 PDT 2013","ARTIST: Hesse, Eva NATIONALITY: United States, b. Germany DATE_OF_WORK: 1967-1969 MATERIALS: natural rubber DIMENSIONS: 1-1/2 x 4-7/8 x 4-3/8 CREDIT_LINE: Gift of Mrs. Helen Charash","233023","305462","","","150","","Adobe Photoshop 7.0","200","200","","","Inch","","","1","","","124","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1981.30.1/bampfa_1981-30-1_001_3.jpeg","workspace://SpacesStore/c50e1977-c280-4bf1-9091-9fe5d2fb276f","bampfa_1981-30-1_001_3.jpeg","image/jpeg","391790","","","","","","","","","Calligraphy Deer Leaping","Unknown","Thu Apr 24 12:01:30 PDT 2014","","Thu Apr 24 12:01:29 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1840 MATERIALS: ink on paper by steel pen, with collage of inked cards DIMENSIONS: 29 -3/8 x 34 -3/8 CREDIT_LINE: Gift of W. B. Carnochan and N. C. Carnochan","233023","233023","","","1417","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1118","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1983.13/bampfa_1983.13_1_4","workspace://SpacesStore/3af630b3-6232-4fd0-b8ee-67c6b6ab81b5","bampfa_1983.13_1_4","image/tiff","24106046","","","","","","","","","Femme Bleue","Campigli, Massimo","Tue Jun 10 10:18:23 PDT 2014","","Thu Jul 25 17:36:09 PDT 2013","ARTIST: Campigli, Massimo NATIONALITY: Italy DATE_OF_WORK: 1962 MATERIALS: oil on canvas DIMENSIONS: 15 -7/8 x 18 -3/8 CREDIT_LINE: Gift of Harry W. Hind, Class of '39 and Diana V. Hind, Class of '40","233023","305462","","","3000","","Adobe Photoshop CS Macintosh","300","300","","","Inch","","","","","","2676","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1992.22/bampfa_1992-22_001_3.jpeg","workspace://SpacesStore/3ec63e63-e4cd-4baf-a4ae-d2841459eef4","bampfa_1992-22_001_3.jpeg","image/jpeg","348279","","","","","","","","","View of Providence, Rhode Island","Unknown","Thu Apr 24 12:01:32 PDT 2014","","Thu Apr 24 12:01:30 PDT 2014","ARTIST: Unknown NATIONALITY: United States DATE_OF_WORK: 1820-1830 MATERIALS: oil on wood panel DIMENSIONS: 28 x 29 CREDIT_LINE: Gift of W. B. Carnochan","233023","233023","","","1187","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","1088","","",""
